SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,029.16613723514,+37.27476725090,342477226146028928,137.0660823310,-23.8002501147,2.2434,9.454,-11.289,127,13.332162,0.907707,1.0,NGC_752,Gaia DR2 342477226146028928,029.16608608183,+37.27481585631
2,029.16123044484,+36.90948534816,342451215824120576,137.1712808877,-24.1526801692,2.1747,9.724,-11.740,104,11.472417,0.630393,1.0,NGC_752,Gaia DR2 342451215824120576,029.16117808363,+36.90953589537
3,029.05712288982,+37.26577542226,342474443007226240,136.9775132046,-23.8325215340,2.3031,10.110,-11.706,101,12.775970,0.803810,1.0,NGC_752,Gaia DR2 342474443007226240,029.05706819358,+37.26582582308
4,029.20255559522,+37.48643577588,342484269892379264,137.0333337543,-23.5887276793,2.1821,9.849,-12.148,103,10.412182,0.530693,1.0,NGC_752,Gaia DR2 342484269892379264,029.20250215403,+37.48648807976
5,029.24001137545,+37.38902224919,342480004988278784,137.0936555031,-23.6742838299,2.1759,9.833,-11.207,121,10.804777,0.515524,1.0,NGC_752,Gaia DR2 342480004988278784,029.23995809049,+37.38907050154
6,029.40197856442,+37.08557666862,342459256002883584,137.3205499653,-23.9304300871,2.1889,9.757,-11.621,109,13.035128,1.011334,1.0,NGC_752,Gaia DR2 342459256002883584,029.40192590371,+37.08562670347
7,029.10122263710,+37.15793503145,342469804442558464,137.0465383448,-23.9267519289,2.2337,9.689,-12.113,122,16.978294,2.289637,1.0,NGC_752,Gaia DR2 342469804442558464,029.10117029339,+37.15798718463
8,029.22885334639,+37.45147997867,342483234804070784,137.0656763426,-23.6166418957,2.2432,9.719,-11.824,104,16.322590,2.133750,1.0,NGC_752,Gaia DR2 342483234804070784,029.22880063524,+37.45153088755
9,029.22320724387,+37.10404577410,342457160058842624,137.1650095196,-23.9520051570,2.2369,9.761,-11.919,115,14.871265,1.331552,1.0,NGC_752,Gaia DR2 342457160058842624,029.22315454872,+37.10409709200
10,029.35044720936,+37.28750560443,342466608986870272,137.2163508694,-23.7477367821,2.1905,9.459,-12.253,131,14.207730,1.340327,0.8,NGC_752, ,029.35039602033,+37.28755836039
11,028.67215710698,+37.63301581527,342544876174824960,136.5484820160,-23.5606178773,2.2766,9.927,-11.615,139,17.090954,2.155834,1.0,NGC_752,Gaia DR2 342544876174824960,028.67210313649,+37.63306582429
