SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,265.82249217560,-33.04976796834,4053935518061656832,-3.7679330605,-1.7256146879,2.1569,-1.390,-6.117,158,14.253443,1.201216,1.0,NGC_6405,Gaia DR2 4053935518061656832,265.82249931559,-33.04974163126
2,265.77858728813,-33.05130841516,4053936205256003840,-3.7885673425,-1.6950980518,2.4226,-2.126,-4.624,211,5.420654,2.279958,0.2,NGC_6405, ,265.77859820891,-33.05128850627
3,265.10655112916,-31.41471607625,4055127599121667584,-2.6984147763,-0.3484210825,2.1789,-1.500,-5.527,149,15.695717,1.737525,0.9,NGC_6405, ,265.10655869678,-31.41469227944
4,265.34855460574,-31.56048649793,4055109732057503616,-2.7127524864,-0.6006742456,2.2391,-1.464,-5.869,138,15.796926,1.780223,1.0,NGC_6405,Gaia DR2 4055109732057503616,265.34856200325,-31.56046122862
5,265.55049369698,-31.42871232717,4055117806596002432,-2.5099179944,-0.6773393640,1.9390,-1.763,-7.628,105,11.044874,0.574603,0.1,NGC_6405, ,265.55050259278,-31.42867948439
6,265.32789210735,-32.55163497131,4054152194917775360,-3.5633905598,-1.1098528046,1.9883,-1.214,-5.925,135,17.841545,2.712166,0.9,NGC_6405, ,265.32789830844,-32.55160946089
7,265.49620556175,-32.59660949813,4054149785388104832,-3.5266812157,-1.2540521066,2.1448,-1.803,-5.817,154,13.699603,1.282869,1.0,NGC_6405,Gaia DR2 4054149785388104832,265.49621477606,-32.59658445271
8,265.31991538740,-32.66072210077,4054150442570979840,-3.6595550551,-1.1618256662,2.1806,-1.756,-5.845,139,15.065052,1.478403,1.0,NGC_6405,Gaia DR2 4054150442570979840,265.31992436795,-32.66069693480
9,264.92023521158,-32.67877577677,4054171642530454272,-3.8533131963,-0.8861561825,1.9221,-2.220,-7.172,137,17.379692,2.848679,0.5,NGC_6405, ,264.92024656742,-32.67874489733
10,264.82965009988,-32.75110852954,4054169512226676096,-3.9551260454,-0.8601294424,1.9110,-1.717,-4.034,159,17.852520,2.424299,0.1,NGC_6405, ,264.82965888988,-32.75109116093
11,265.39264846313,-32.55831861315,4054153393158576896,-3.5402168055,-1.1597226744,2.1324,-1.670,-6.422,130,11.297547,0.541330,1.0,NGC_6405,Gaia DR2 4054153393158576896,265.39265699410,-32.55829096287
12,265.04319578189,-32.78734480450,4054166419850130176,-3.8903276449,-1.0314703061,2.2758,-1.197,-5.647,113,15.694585,1.721135,1.0,NGC_6405,Gaia DR2 4054166419850130176,265.04320191230,-32.78732049103
13,265.42440195286,-32.47702045376,4054154320874019712,-3.4570225003,-1.1395285159,1.9534,-1.037,-5.904,139,17.132563,2.874234,1.0,NGC_6405,Gaia DR2 4054154320874019712,265.42440724544,-32.47699503376
14,265.40937406599,-32.48809974114,4054154217792294912,-3.4731281883,-1.1346130246,2.1065,-0.789,-6.390,139,12.491843,0.852281,1.0,NGC_6405,Gaia DR2 4054154217792294912,265.40937809334,-32.48807222864
15,264.76154282440,-33.03868164794,4054155493453053696,-4.2289841406,-0.9649601753,2.2293,-1.384,-5.999,149,13.328743,1.054274,1.0,NGC_6405,Gaia DR2 4054155493453053696,264.76154993268,-33.03865581891
16,264.72854015741,-33.08418121386,4054154909337482368,-4.2822316746,-0.9658203811,1.9071,-1.791,-6.617,147,17.844372,2.863129,0.9,NGC_6405, ,264.72854936081,-33.08415272400
17,265.45332430928,-32.49101361579,4054154050343600128,-3.4560292205,-1.1676362698,2.2171,-1.414,-5.815,146,12.995878,0.952592,1.0,NGC_6405,Gaia DR2 4054154050343600128,265.45333152710,-32.49098857898
18,264.92310090306,-31.45706447424,4055149348836923904,-2.8174547658,-0.2383163326,1.9735,-0.286,-5.750,113,13.989338,1.262982,0.8,NGC_6405, ,264.92310234660,-31.45703971730
19,264.99936679647,-31.39794197090,4055151135542524544,-2.7327789611,-0.2619959783,2.1176,-1.380,-5.842,150,16.310411,1.978336,1.0,NGC_6405,Gaia DR2 4055151135542524544,264.99937375743,-31.39791681784
20,264.57122213992,-31.46811672943,4055158140627717376,-2.9868893967,0.0096790868,1.9853,-0.063,-5.245,130,15.125846,1.513656,0.5,NGC_6405, ,264.57122245794,-31.46809414679
21,264.81286660281,-31.59435848079,4055142232067575552,-2.9837013462,-0.2318765579,2.3102,-1.487,-5.888,150,17.693983,2.770168,1.0,NGC_6405,Gaia DR2 4055142232067575552,264.81287411927,-31.59433312968
22,264.84636767799,-31.55979500127,4055142683046375936,-2.9392459550,-0.2376178171,2.1389,-1.299,-5.554,140,15.023308,1.396117,1.0,NGC_6405,Gaia DR2 4055142683046375936,264.84637424172,-31.55977108821
23,265.83045004010,-32.74990084388,4054037703925339904,-3.5090422491,-1.5739701091,2.4407,-1.378,-6.597,139,17.240372,2.763509,0.6,NGC_6405, ,265.83045709453,-32.74987244013
24,266.12706867078,-32.94733405556,4054020390943684992,-3.5468282462,-1.8896432234,2.3979,-1.958,-4.358,121,17.986584,2.467640,0.2,NGC_6405, ,266.12707871674,-32.94731529195
25,265.97592510555,-32.80246678238,4054034886426440192,-3.4896950969,-1.7056892723,2.3525,-1.098,-7.005,132,13.040084,0.992758,0.6,NGC_6405, ,265.97593072989,-32.80243662196
26,265.08481197174,-31.27788460494,4055176488727534720,-2.5922921363,-0.2600703287,2.2282,-1.207,-5.669,141,13.372249,1.052346,1.0,NGC_6405,Gaia DR2 4055176488727534720,265.08481805230,-31.27786019675
27,265.09518942223,-31.36255424171,4055174843761967872,-2.6593487626,-0.3125208827,2.1528,-1.265,-5.650,166,13.170667,0.998369,1.0,NGC_6405,Gaia DR2 4055174843761967872,265.09519580071,-31.36252991532
28,264.30916413460,-33.09992439125,4053789115574148736,-4.4835186144,-0.6773985971,2.0080,-2.199,-5.696,174,17.757471,2.653126,0.5,NGC_6405, ,264.30917543661,-33.09989986681
29,265.25970195443,-33.28874308902,4054093096119066112,-4.2194135538,-1.4511075493,2.2575,-1.452,-5.394,147,17.711260,2.790142,0.7,NGC_6405, ,265.25970943326,-33.28871986485
30,265.33146245828,-33.09679725233,4054097146273611776,-4.0246833060,-1.4005803161,2.1924,-1.737,-5.497,123,16.628778,2.364539,1.0,NGC_6405,Gaia DR2 4054097146273611776,265.33147138547,-33.09677358469
31,264.96427279397,-33.31781008569,4054089831986374784,-4.3750163841,-1.2571694705,2.0306,-1.492,-4.998,158,17.071123,2.020573,0.7,NGC_6405, ,264.96428048139,-33.31778856652
32,266.02759562660,-32.59989807326,4054046229490316544,-3.2942455001,-1.6367211531,2.2820,-1.738,-5.610,148,17.874367,2.605076,0.8,NGC_6405, ,266.02760450905,-32.59987391909
33,266.39195636710,-32.40583748893,4054070453107772288,-2.9682058303,-1.7975917916,2.0741,-0.994,-5.583,140,12.577522,0.880432,1.0,NGC_6405,Gaia DR2 4054070453107772288,266.39196143622,-32.40581345101
34,266.13546628964,-31.66429878553,4055843827875997312,-2.4487351538,-1.2253196754,2.1048,-1.194,-5.771,157,14.624656,1.301204,0.9,NGC_6405, ,266.13547232959,-31.66427393817
35,265.68746184639,-32.96646908803,4053940607677849344,-3.7565139352,-1.5855050992,1.9030,-0.118,-6.390,158,16.797140,1.998293,0.6,NGC_6405, ,265.68746245195,-32.96644157553
36,265.78809062222,-32.83913907556,4053943008487130624,-3.6037264146,-1.5904971341,2.4045,-1.454,-5.740,127,12.326139,0.948447,1.0,NGC_6405,Gaia DR2 4053943008487130624,265.78809807319,-32.83911436167
37,265.23841649114,-31.90647576133,4055072245574518784,-3.0559262282,-0.7042609748,2.1607,-1.043,-6.014,142,17.649261, ,1.0,NGC_6405,Gaia DR2 4055072245574518784,265.23842178108,-31.90644986772
38,264.92608096191,-31.89104446180,4055075230580142592,-3.1835887811,-0.4713319339,2.1153,-0.309,-5.743,133,17.944899,2.874227,0.7,NGC_6405, ,264.92608252885,-31.89101973499
39,265.04349507453,-31.96499786420,4055071249150036864,-3.1932691882,-0.5950481484,2.1653,-1.261,-5.685,139,13.223000,0.971689,1.0,NGC_6405,Gaia DR2 4055071249150036864,265.04350147421,-31.96497338712
40,265.10502165620,-31.87121988833,4055076025153794688,-3.0860663568,-0.5895309485,2.4105,-0.457,-5.343,139,11.296329,0.605540,1.0,NGC_6405,Gaia DR2 4055076025153794688,265.10502397315,-31.87119688375
41,265.23326620623,-31.90944470705,4055072245582521728,-3.0607603046,-0.7021244259,2.1196,-1.545,-5.607,148,16.660364,2.155591,1.0,NGC_6405,Gaia DR2 4055072245582521728,265.23327404249,-31.90942056580
42,264.09267552314,-31.76310364871,4055056538881120256,-3.4544784599,0.1952925337,2.1837,-1.637,-7.109,175,17.509449,2.301292,0.2,NGC_6405, ,264.09268381287,-31.76307304052
43,264.97117910242,-31.86295909730,4055075681556451456,-3.1394369576,-0.4888296794,2.2622,-1.507,-5.497,136,15.382077,1.556201,1.0,NGC_6405,Gaia DR2 4055075681556451456,264.97118674209,-31.86293542966
44,265.04937051027,-31.91246132744,4055074410246093184,-3.1461014798,-0.5713756856,2.0059,-1.818,-6.199,148,17.346848,2.547155,0.9,NGC_6405, ,265.04937973149,-31.91243463730
45,264.96310696355,-31.87374027454,4055075647196710784,-3.1522133505,-0.4887549748,2.1082,-1.295,-5.388,145,11.063890,0.429520,1.0,NGC_6405,Gaia DR2 4055075647196710784,264.96311352926,-31.87371707621
46,265.30847047770,-31.73757085808,4055081557072832000,-2.8811013718,-0.6653684921,2.1214,-1.417,-5.852,122,15.585138,1.657203,1.0,NGC_6405,Gaia DR2 4055081557072832000,265.30847765138,-31.73754566197
47,265.08233629667,-31.90571992845,4055075853355095808,-3.1255315669,-0.5915123994,2.2335,-1.382,-5.518,178,9.878222,0.199176,1.0,NGC_6405,Gaia DR2 4055075853355095808,265.08234330591,-31.90569617039
48,265.14725610338,-31.97217691509,4055071730186449152,-3.1526436208,-0.6734676116,2.2095,-1.339,-6.357,140,15.328395,1.562015,1.0,NGC_6405,Gaia DR2 4055071730186449152,265.14726289944,-31.97214954467
49,265.17841917382,-31.94728626759,4055071695826710272,-3.1175199463,-0.6826917924,2.2267,-1.643,-5.594,169,10.713155,0.354894,1.0,NGC_6405,Gaia DR2 4055071695826710272,265.17842751057,-31.94726218231
50,265.12781834986,-32.02516378142,4055069840392593024,-3.2063119671,-0.6875905709,2.0139,-1.459,-5.983,143,17.926230,2.828726,0.8,NGC_6405, ,265.12782575926,-32.02513802128
51,265.11882569228,-31.97080156656,4055070317137289472,-3.1642688954,-0.6522913668,2.4299,-0.710,-5.010,141,17.439524,2.815393,1.0,NGC_6405,Gaia DR2 4055070317137289472,265.11882929581,-31.97077999573
52,265.23876009223,-31.90688252869,4055072245582520960,-3.0561168457,-0.7047238042,2.1644,-1.265,-5.940,145,14.253862,1.221820,1.0,NGC_6405,Gaia DR2 4055072245582520960,265.23876650815,-31.90685695369
53,265.34474959975,-31.74258528168,4055080766797972224,-2.8690388703,-0.6942057842,2.0467,-1.274,-6.182,150,14.954284,1.466743,1.0,NGC_6405,Gaia DR2 4055080766797972224,265.34475604983,-31.74255866474
54,264.96271600965,-31.92945261472,4055074891282315264,-3.1995775830,-0.5180939885,2.1459,-1.472,-5.487,154,13.175556,0.972928,1.0,NGC_6405,Gaia DR2 4055074891282315264,264.96272347728,-31.92942899014
55,264.94220086580,-31.94640925214,4055074753843361664,-3.2231966142,-0.5123661583,2.1815,-1.496,-5.797,164,15.149700,1.492685,1.0,NGC_6405,Gaia DR2 4055074753843361664,264.94220845658,-31.94638429283
56,265.07956465444,-31.88497151899,4055075952134376576,-3.1091947549,-0.5785058520,2.0539,-0.810,-5.740,156,9.864427,0.179185,1.0,NGC_6405,Gaia DR2 4055075952134376576,265.07956876168,-31.88494680510
57,265.02941337437,-32.03963930228,4055070355788689024,-3.2628604545,-0.6245702036,2.4323,-1.157,-5.562,140,17.995250,2.897726,1.0,NGC_6405,Gaia DR2 4055070355788689024,265.02941925102,-32.03961535478
58,265.22627562997,-31.93856622762,4055072039424082432,-3.0886070487,-0.7125140104,2.1917,-0.932,-5.782,160,17.612707,2.786285,0.9,NGC_6405, ,265.22628035858,-31.93854133290
59,265.11429767870,-32.05043894981,4055069428083885952,-3.2338200000,-0.6912806446,2.1486,-0.670,-5.919,159,14.184484,1.203448,1.0,NGC_6405,Gaia DR2 4055069428083885952,265.11430108218,-32.05041346523
60,265.01680988053,-32.01092579411,4055070630674742784,-3.2442074759,-0.6002648562,1.9180,-1.313,-6.226,147,15.770427,2.094380,1.0,NGC_6405,Gaia DR2 4055070630674742784,265.01681654745,-32.01089898772
61,265.06045960460,-31.97985150306,4055070974272125824,-3.1982152582,-0.6151297912,2.1159,-1.094,-5.807,148,13.789726,1.071268,1.0,NGC_6405,Gaia DR2 4055070974272125824,265.06046515764,-31.97982650070
62,265.00814131856,-31.95307719767,4055073890550293504,-3.1991018911,-0.5633024454,2.2064,-1.258,-5.702,150,11.812576,0.720212,1.0,NGC_6405,Gaia DR2 4055073890550293504,265.00814770218,-31.95305264739
63,265.54388304823,-32.62668983301,4054148690224093056,-3.5310713582,-1.3040366209,2.1912,-1.247,-5.888,151,11.173791,0.486652,1.0,NGC_6405,Gaia DR2 4054148690224093056,265.54388942322,-32.62666448190
64,265.16038926465,-32.78854662891,4054142917787512832,-3.8390790146,-1.1156283940,2.1050,-1.263,-5.813,142,13.557357,1.085788,1.0,NGC_6405,Gaia DR2 4054142917787512832,265.16039573316,-32.78852160072
65,265.57582212963,-32.61540561993,4054148621504595072,-3.5073010565,-1.3209557653,2.1968,-1.407,-5.866,147,11.241912,0.534310,1.0,NGC_6405,Gaia DR2 4054148621504595072,265.57582932168,-32.61538036354
66,265.16136088390,-32.73590710291,4054143325756644096,-3.7939982515,-1.0884242794,2.3451,-1.355,-4.909,105,17.858097,2.752560,1.0,NGC_6405,Gaia DR2 4054143325756644096,265.16136781949,-32.73588596694
67,265.15516105480,-32.81667101137,4054141749556377600,-3.8652628348,-1.1268070723,2.2568,-1.996,-5.950,131,14.962554,1.463680,1.0,NGC_6405,Gaia DR2 4054141749556377600,265.15517128064,-32.81664539331
68,265.66968756332,-32.71642309544,4054135358611028736,-3.5516134763,-1.4413138489,1.8782,-1.397,-5.888,165,17.416610,2.798102,1.0,NGC_6405,Gaia DR2 4054135358611028736,265.66969471233,-32.71639774433
69,265.46621812527,-32.72016216763,4054146319402103680,-3.6449944538,-1.2977735748,2.2802,-1.636,-5.429,160,15.440035,1.640915,1.0,NGC_6405,Gaia DR2 4054146319402103680,265.46622649769,-32.72013879277
70,265.28901180535,-32.69401215175,4054144493987952384,-3.7015740537,-1.1573542515,2.1394,-1.452,-6.106,127,16.534470,2.108739,1.0,NGC_6405,Gaia DR2 4054144493987952384,265.28901923395,-32.69398586203
71,265.44426039085,-32.77112085218,4054145696596523264,-3.6980404065,-1.3089738077,2.1833,-0.943,-6.286,141,17.510426,2.562229,0.9,NGC_6405, ,265.44426521952,-32.77109378746
72,265.47060828091,-32.69634296440,4054146624291755264,-3.6228051028,-1.2883457609,2.1626,-1.742,-7.111,150,15.104750,1.647107,0.4,NGC_6405, ,265.47061719341,-32.69631234759
73,265.44513757015,-32.77265482501,4054145700926773760,-3.6989543973,-1.3104098181,2.1551,-1.712,-6.379,106,15.764114,2.113253,1.0,NGC_6405,Gaia DR2 4054145700926773760,265.44514633667,-32.77262735987
74,265.53980230637,-32.71759579506,4054136045839191296,-3.6101612289,-1.3490237148,2.1506,-1.285,-6.033,130,12.113923,0.778676,1.0,NGC_6405,Gaia DR2 4054136045839191296,265.53980888232,-32.71756981964
75,265.71176195068,-31.49671558214,4054363266755538688,-2.4952935977,-0.8300906851,2.4264,-1.310,-6.317,123,16.696100,2.334589,0.9,NGC_6405, ,265.71176856552,-31.49668838395
76,266.06519689983,-31.73718345651,4054342272955173760,-2.5421449514,-1.2124729587,2.0614,0.361,-5.963,134,16.331293,1.855683,0.7,NGC_6405, ,266.06519507225,-31.73715778248
77,265.92080714137,-31.55276297623,4054359929543419136,-2.4494076436,-1.0111683416,2.0816,-1.408,-5.794,140,16.436003,2.076359,1.0,NGC_6405,Gaia DR2 4054359929543419136,265.92081425533,-31.55273802984
78,265.57952320864,-31.59384854216,4054356596648766464,-2.6372201813,-0.7854100226,2.1135,-1.650,-6.331,133,15.629622,2.094294,1.0,NGC_6405,Gaia DR2 4054356596648766464,265.57953154898,-31.59382128369
79,265.72547172080,-31.58821922020,4054361789286744192,-2.5669857859,-0.8881494662,2.1653,-1.392,-5.854,137,14.695952,1.350684,1.0,NGC_6405,Gaia DR2 4054361789286744192,265.72547875659,-31.58819401548
80,265.74336928500,-31.70227115455,4054351240847011584,-2.6560040845,-0.9610727088,2.1505,-1.349,-5.637,139,13.839935,1.131834,1.0,NGC_6405,Gaia DR2 4054351240847011584,265.74337611182,-31.70224688413
81,265.65823262913,-31.52084603462,4054363159360367616,-2.5398304432,-0.8039777815,2.0798,-1.232,-5.863,126,12.588675,0.860542,1.0,NGC_6405,Gaia DR2 4054363159360367616,265.65823885171,-31.52082079115
82,265.92875187546,-31.86874206529,4054339519861351936,-2.7149857279,-1.1825820066,2.1851,-1.227,-5.676,130,16.977120,2.363707,1.0,NGC_6405,Gaia DR2 4054339519861351936,265.92875809607,-31.86871762696
83,265.77928782208,-31.47549166626,4054364641145056512,-2.4469622113,-0.8679184717,2.0550,-1.369,-6.148,130,16.563313,2.280671,1.0,NGC_6405,Gaia DR2 4054364641145056512,265.77929473327,-31.47546519570
84,265.63323891795,-31.57544789161,4054362545201026688,-2.5974722691,-0.8146136180,2.0707,-0.682,-5.818,111,14.720227,1.328318,1.0,NGC_6405,Gaia DR2 4054362545201026688,265.63324236461,-31.57542284189
