SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,120.81812415724,-27.09795360645,5697059477169303424,244.9993662079,2.0964360933,1.4311,-5.210,6.896,329,14.056545,0.888771,0.8,NGC_2527, ,120.81814935519,-27.09798329756
2,120.94238641439,-26.98232210402,5697061985429971200,244.9602521246,2.2516544995,1.4870,-6.391,7.712,283,17.043270,1.249153,0.6,NGC_2527, ,120.94241729238,-26.98235530846
3,120.90984554411,-26.99620555594,5697062054149496960,244.9565792389,2.2197154855,1.4500,-5.434,7.096,321,14.055643,0.916350,1.0,NGC_2527,Gaia DR2 5697062054149496960,120.90987180161,-26.99623610816
4,120.86748825204,-26.80588582184,5697084559778028032,244.7751650032,2.2889127250,1.4633,-5.433,7.127,284,15.917970,1.445031,1.0,NGC_2527,Gaia DR2 5697084559778028032,120.86751446050,-26.80591650753
5,120.80000255631,-26.83609005817,5697078752982346880,244.7687538508,2.2218427440,1.5430,-6.101,7.546,329,16.546251,1.769013,0.9,NGC_2527, ,120.80003199501,-26.83612254789
6,120.90274650135,-26.81994210681,5697081914078146176,244.8038220538,2.3080927307,1.4246,-5.510,6.956,341,17.174492,1.888466,1.0,NGC_2527,Gaia DR2 5697081914078146176,120.90277308455,-26.81997205625
7,120.99295676762,-26.94976032856,5697068032743842560,244.9566735053,2.3071430416,1.4030,-5.046,6.793,329,14.457049,0.938038,0.7,NGC_2527, ,120.99298114022,-26.94978957620
8,121.11720119700,-26.83129400530,5697070678443492352,244.9154329589,2.4640357417,1.3314,-4.992,6.992,370,17.236979,2.093229,0.3,NGC_2527, ,121.11722528351,-26.83132410974
9,120.86005970477,-26.98490732563,5697073530302162688,244.9233979418,2.1881500587,1.3953,-5.621,6.957,323,17.916220,2.180845,0.7,NGC_2527, ,120.86008686314,-26.98493727938
10,121.74730648873,-28.15980700479,5597686509606308096,246.3378119707,2.2241353732,1.6117,-5.641,7.317,315,16.151220,1.548321,1.0,NGC_2527,Gaia DR2 5597686509606308096,121.74733403715,-28.15983850854
11,121.56538804838,-28.13717521673,5597688910481299328,246.2324036362,2.1010659412,1.5716,-5.686,7.403,309,13.385977,0.785892,1.0,NGC_2527,Gaia DR2 5597688910481299328,121.56541581070,-28.13720709075
12,121.49875184034,-28.14648076098,5597689636342388608,246.2086961430,2.0464961326,1.5370,-5.559,7.332,294,12.326798,0.595819,1.0,NGC_2527,Gaia DR2 5597689636342388608,121.49877898493,-28.14651232931
13,121.56909504917,-28.18209480605,5597688502471296640,246.2720763062,2.0796971751,1.5505,-5.647,7.336,287,14.907104,1.114572,1.0,NGC_2527,Gaia DR2 5597688502471296640,121.56912263264,-28.18212639160
14,121.44149865768,-28.24167304790,5597682248999074304,246.2620005929,1.9528483863,1.5993,-5.610,7.331,301,14.927232,1.120346,1.0,NGC_2527,Gaia DR2 5597682248999074304,121.44152607571,-28.24170461193
15,121.47765021584,-28.19916672077,5597682764395087488,246.2431984919,2.0025313085,1.5218,-5.601,7.101,280,10.789048,0.290591,1.0,NGC_2527,Gaia DR2 5597682764395087488,121.47767757899,-28.19919729452
16,121.68274570282,-28.24955340989,5597684241863683072,246.3828666642,2.1278832267,1.5775,-5.712,7.170,326,16.833593,1.803578,1.0,NGC_2527,Gaia DR2 5597684241863683072,121.68277362142,-28.24958428072
17,121.45394058164,-28.22425592844,5597682352078262144,246.2531726824,1.9714407192,1.5581,-5.621,7.378,268,11.013500,0.310182,1.0,NGC_2527,Gaia DR2 5597682352078262144,121.45396804895,-28.22428769483
18,121.50624652388,-28.29075663374,5597678881744680192,246.3340585351,1.9746438098,1.5878,-5.890,7.214,255,16.397955,1.617475,1.0,NGC_2527,Gaia DR2 5597678881744680192,121.50627532363,-28.29078769401
19,121.36322142827,-28.29258163837,5597680943329117312,246.2680344490,1.8673592053,1.5203,-5.668,7.091,276,11.310134,0.519715,1.0,NGC_2527,Gaia DR2 5597680943329117312,121.36324914300,-28.29261216906
20,121.64089872710,-28.26222443005,5597684173144248832,246.3737189743,2.0899927268,1.4901,-5.564,7.051,281,11.702266,0.464080,1.0,NGC_2527,Gaia DR2 5597684173144248832,121.64092592555,-28.26225478852
21,121.39053605812,-28.21205990807,5597683314150546048,246.2129042280,1.9308151909,1.5730,-5.653,7.318,308,12.601367,0.646814,1.0,NGC_2527,Gaia DR2 5597683314150546048,121.39056367864,-28.21209141612
22,121.39653645883,-28.22010677506,5597683245431069184,246.2225370163,1.9309673894,1.4935,-5.865,7.188,284,12.174211,0.575538,1.0,NGC_2527,Gaia DR2 5597683245431069184,121.39656511734,-28.22013772339
23,120.11303468299,-28.79922280159,5597724958149991296,246.1138125741,0.6677981313,1.7081,-5.148,7.724,341,17.087833,1.264019,0.1,NGC_2527, ,120.11305997647,-28.79925605770
24,121.32769262375,-28.27823225078,5597681183847295872,246.2391458367,1.8486220382,1.5328,-5.570,7.127,308,13.872376,0.875144,1.0,NGC_2527,Gaia DR2 5597681183847295872,121.32771985562,-28.27826293647
