SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,281.11992020101,+03.85028196747,4280551603346324608,35.5700541511,3.3006260792,2.1021,0.448,-4.426,104,12.383072,0.900183,0.1,IC_4756, ,281.11991826776,+03.85030102386
2,281.48766159244,+04.32957935983,4280597989020245760,36.1645709132,3.1912910883,2.0947,0.662,-5.051,127,17.843403,2.120764,0.1,IC_4756, ,281.48765873400,+04.32960110719
3,281.00806213445,+04.13674987259,4280614408653426688,35.7750686520,3.5300463347,2.1813,1.995,-4.764,121,14.531891,1.337681,0.7,IC_4756, ,281.00805352243,+04.13677038426
4,281.00309142113,+04.21727430862,4280616130963309696,35.8447199117,3.5709861607,2.1673,1.406,-5.875,142,13.068339,1.073151,0.5,IC_4756, ,281.00308535108,+04.21729960376
5,278.39574433905,+07.16566687581,4477328553688427648,37.3141574763,7.2156324444,2.0490,0.624,-4.799,116,17.999538,2.431860,0.2,IC_4756, ,278.39574163123,+07.16568753817
6,278.97936822938,+03.27350285603,4283085148718300160,34.0830406942,4.9429655790,2.0658,0.485,-4.497,96,15.412555,1.848995,0.4,IC_4756, ,278.97936613777,+03.27352221811
7,279.03832650501,+03.46226598900,4283096697905998336,34.2787053423,4.9760878276,2.0366,1.364,-4.865,122,14.972918,1.513292,1.0,IC_4756,Gaia DR2 4283096697905998336,279.03832062149,+03.46228693553
8,279.42180248334,+03.69854529931,4283130159980348672,34.6641660162,4.7420058798,1.8864,0.578,-4.437,167,14.190463,1.334309,0.2,IC_4756, ,279.42179998953,+03.69856440306
9,278.77900852426,+03.73170334244,4283165864061733504,34.4021441921,5.3288813713,2.1586,0.837,-5.303,132,15.567196,1.634205,0.8,IC_4756, ,278.77900491285,+03.73172617480
10,279.26972324740,+03.71796376686,4283172388096796416,34.6125318409,4.8860930630,2.1437,0.913,-5.408,166,12.612432,0.996791,0.7,IC_4756, ,279.26971930814,+03.71798705130
11,278.18464147123,+03.74954187357,4283270175914043392,34.1483178134,5.8657913825,1.9317,1.413,-5.878,140,17.226440,2.182928,0.3,IC_4756, ,278.18463537443,+03.74956718163
12,280.59039467678,+05.68824130939,4285471230715476224,36.9731485528,4.6034279665,2.0845,1.636,-4.165,134,12.741988,0.943864,0.9,IC_4756, ,280.59038759804,+05.68825924203
13,280.49115809669,+05.61727055134,4285464702364754048,36.8648701611,4.6594764511,2.1659,1.173,-4.816,159,15.360197,1.486921,1.0,IC_4756,Gaia DR2 4285464702364754048,280.49115302190,+05.61729128690
14,280.82206607843,+05.63186685786,4285467657302904576,37.0271928452,4.3722900314,2.1468,1.457,-5.265,143,13.269351,0.940818,1.0,IC_4756,Gaia DR2 4285467657302904576,280.82205977481,+05.63188952661
15,280.53312083533,+05.48221683251,4285458448892257024,36.7629242666,4.5612008589,2.0313,1.425,-4.959,139,14.378392,1.178843,1.0,IC_4756,Gaia DR2 4285458448892257024,280.53311467172,+05.48223818376
16,280.28292421074,+05.61111063810,4285478510653130112,36.7654468452,4.8415948549,2.0339,1.229,-5.097,131,16.734352,1.974472,1.0,IC_4756,Gaia DR2 4285478510653130112,280.28291889373,+05.61113258352
17,280.36488868536,+05.61453234028,4285475766200588544,36.8054729287,4.7703573927,2.0724,1.503,-4.684,147,14.138769,1.123976,1.0,IC_4756,Gaia DR2 4285475766200588544,280.36488218291,+05.61455250750
18,280.82444831938,+05.77644506134,4285496137200574336,37.1576216088,4.4355128124,2.0365,1.664,-4.955,111,15.050302,1.341346,1.0,IC_4756,Gaia DR2 4285496137200574336,280.82444111837,+05.77646639537
19,280.55949843973,+05.98071029425,4285515142463064832,37.2210565919,4.7629088316,1.8777,1.334,-4.762,140,13.681147,0.986389,0.9,IC_4756, ,280.55949266469,+05.98073079731
