SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,256.67861050793,-37.11722301011,5976523167924442880,348.6661255193,2.1750315146,1.8875,-1.854,-3.959,261,11.669738,0.627648,1.0,NGC_6281,Gaia DR2 5976523167924442880,256.67862051856,-37.11720596442
2,255.09706034451,-37.62271351047,5976576739107778816,347.4994940272,2.8656091005,1.7080,-1.526,-3.744,258,14.591639,1.195735,0.7,NGC_6281, ,255.09706863981,-37.62269739047
3,255.69245124775,-37.31549533877,5976597354953822464,348.0323593365,2.6801250853,1.8232,-1.914,-3.853,277,14.181259,1.098923,1.0,NGC_6281,Gaia DR2 5976597354953822464,255.69246160954,-37.31547874946
4,255.24183587241,-37.33414408202,5976591204559539840,347.7981595461,2.9522168610,1.8357,-1.727,-3.883,230,13.549585,1.000760,1.0,NGC_6281,Gaia DR2 5976591204559539840,255.24184522416,-37.33412736355
5,255.72735498639,-37.11383651273,5976609101636632832,348.2093815274,2.7809873401,1.8104,-1.519,-4.245,242,17.551798,2.272531,0.7,NGC_6281, ,255.72736318782,-37.11381823565
6,255.62939660743,-37.48466898344,5976593914629085056,347.8675714781,2.6166285174,1.8522,-2.070,-3.811,273,13.660698,1.049524,1.0,NGC_6281,Gaia DR2 5976593914629085056,255.62940783908,-37.48465257497
7,255.36946639509,-37.26867810102,5976612159655612928,347.9122675591,2.9121356131,1.8770,-1.980,-4.098,250,13.957200,1.092665,1.0,NGC_6281,Gaia DR2 5976612159655612928,255.36947710752,-37.26866045685
8,255.63680597547,-37.48579448623,5976593918979786368,347.8702705803,2.6112839678,1.9252,-2.093,-3.765,290,14.773453,1.261241,1.0,NGC_6281,Gaia DR2 5976593918979786368,255.63681733209,-37.48577827581
9,254.89319969627,-37.46607161842,5976629000258011392,347.5233944339,3.0894250158,1.7260,-1.280,-4.028,190,16.980522,1.988619,0.8,NGC_6281, ,254.89320663972,-37.46605427564
10,256.66547502917,-38.91488166407,5973208758844195712,347.2230087968,1.1022492297,1.9615,-2.103,-3.946,238,17.691113,2.308619,0.9,NGC_6281, ,256.66548666625,-38.91486467435
11,256.37207458739,-38.97857014453,5973204635676648192,347.0345677826,1.2458813135,2.0195,-1.569,-3.874,232,15.200418,1.691246,1.0,NGC_6281,Gaia DR2 5973204635676648192,256.37208327735,-38.97855346481
12,257.00342262545,-38.78010839408,5973223159881516160,347.4888173625,0.9726082825,1.6669,-2.084,-4.400,251,15.516862,1.589076,0.7,NGC_6281, ,257.00343413557,-38.78008944963
