SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,115.18432210000,-13.83705629206,3030442582338182016,230.8848395407,4.3244779066,1.1295,-0.696,-4.313,263,16.319815,1.409803,0.1,NGC_2423, ,115.18432518623,-13.83703772220
2,115.50433513192,-13.96930517684,3030412620646875264,231.1532126445,4.5303677373,1.1545,-0.441,-3.456,255,13.396628,1.106378,0.6,NGC_2423, ,115.50433708854,-13.96929029684
3,115.05963792510,-14.19780157480,3030382040479470592,231.1408797516,4.0424077310,1.1750,-0.847,-3.949,251,12.214730,0.508825,0.9,NGC_2423, ,115.05964168681,-14.19778457216
4,115.41116222327,-13.81503602284,3030418633601087872,230.9738506112,4.5272756461,1.1279,-0.723,-4.036,248,16.637665,1.438901,0.5,NGC_2423, ,115.41116542892,-13.81501864562
5,114.80921882499,-14.02748633052,3030435744750529920,230.8729421027,3.9137855578,1.1015,-1.179,-3.442,232,17.842312,1.816750,0.6,NGC_2423, ,114.80922405727,-14.02747151080
6,115.13914422932,-14.30009821965,3030377298836423808,231.2681240568,4.0595128388,1.0941,-0.402,-3.753,249,16.227375,1.296511,0.8,NGC_2423, ,115.13914601550,-14.30008206090
7,114.86231154928,-13.95145724781,3030436500664697856,230.8316481457,3.9958675065,1.0714,-0.700,-3.757,215,15.949450,1.188329,1.0,NGC_2423,Gaia DR2 3030436500664697856,114.86231465478,-13.95144107184
8,115.43906454805,-13.92899093967,3030413891957213440,231.0867877214,4.4949704730,1.0799,-1.048,-3.394,232,17.455414,1.828304,0.3,NGC_2423, ,115.43906919697,-13.92897632661
9,114.75787150907,-13.92246236885,3030449110688081792,230.7566854443,3.9215503688,1.0621,-0.877,-3.646,261,14.984200,0.966135,1.0,NGC_2423,Gaia DR2 3030449110688081792,114.75787539933,-13.92244667079
10,115.51384540767,-13.61949639790,3030474880492687616,230.8520081999,4.7101345517,1.1268,-1.038,-3.392,201,16.813362,1.429255,0.4,NGC_2423, ,115.51385000614,-13.61948179346
11,114.81193125152,-13.81202044159,3030454397787214976,230.6857221449,4.0212517519,1.0171,-0.729,-3.422,281,17.674416,1.765286,0.6,NGC_2423, ,114.81193448373,-13.81200570798
12,114.61527085219,-13.86564857189,3030453405655386240,230.6393215756,3.8283900307,0.9839,-0.876,-3.371,264,16.266796,1.289829,0.7,NGC_2423, ,114.61527473706,-13.86563405786
13,114.87070311871,-13.81181964049,3030451825107906944,230.7134745585,4.0711611092,1.0128,-0.814,-3.668,248,14.703523,0.908594,1.0,NGC_2423,Gaia DR2 3030451825107906944,114.87070672779,-13.81180384771
14,115.22500993070,-13.80065766871,3030443132093961216,230.8724129577,4.3767500829,1.1123,-0.790,-3.706,224,15.010975,0.982270,1.0,NGC_2423,Gaia DR2 3030443132093961216,115.22501343320,-13.80064171232
15,114.79796045695,-13.98198009582,3030447770658933376,230.8277879796,3.9264654549,0.9745,-0.767,-3.697,245,13.651928,0.847656,1.0,NGC_2423,Gaia DR2 3030447770658933376,114.79796386014,-13.98196417818
16,115.26980460125,-13.79338985244,3030466354976281728,230.8874283115,4.4182365481,0.9669,-0.847,-3.437,233,17.407938,1.735847,0.4,NGC_2423, ,115.26980835635,-13.79337505425
17,114.69123743827,-13.81575393468,3030454024130650880,230.6316854712,3.9171148608,1.1055,-0.804,-3.652,255,15.501301,1.103600,1.0,NGC_2423,Gaia DR2 3030454024130650880,114.69124100307,-13.81573821079
18,114.89082037185,-13.81588313178,3030451653309208704,230.7265928622,4.0862251149,1.0636,-0.809,-3.605,276,14.362087,0.841721,1.0,NGC_2423,Gaia DR2 3030451653309208704,114.89082395882,-13.81586761025
19,114.74853384309,-13.86642408276,3030452718460597376,230.7032198749,3.9409751734,1.0703,-0.807,-3.817,260,15.527982,1.095225,1.0,NGC_2423,Gaia DR2 3030452718460597376,114.74853742197,-13.86640764845
20,114.73499505524,-13.81152240925,3030455261081226112,230.6487502533,3.9562766373,0.9977,-0.288,-3.315,259,14.560904,0.896941,0.8,NGC_2423, ,114.73499633216,-13.81150813633
21,114.86869018798,-13.76764669023,3030460827359329792,230.6738690999,4.0910212119,0.9791,-1.035,-4.574,270,16.574373,1.354960,0.5,NGC_2423, ,114.86869477605,-13.76762699662
22,114.87429775874,-13.70737158305,3030461651992517504,230.6237949372,4.1252002511,1.1073,-0.819,-3.744,254,12.696247,0.559172,1.0,NGC_2423,Gaia DR2 3030461651992517504,114.87430138837,-13.70735546305
23,114.79402932991,-13.92359716256,3030449243825898880,230.7748438880,3.9516303748,1.0920,-0.979,-4.150,234,17.327635,1.517256,0.6,NGC_2423, ,114.79403367265,-13.92357929450
24,114.79643691165,-13.77625653691,3030455054922772608,230.6470671951,4.0255684428,1.0278,-0.642,-3.379,289,15.735865,1.098932,1.0,NGC_2423,Gaia DR2 3030455054922772608,114.79643975769,-13.77624198844
25,114.88152463491,-13.62943439466,3030464396471878528,230.5590322743,4.1693732210,0.9808,-0.719,-3.964,280,17.805916,1.828665,0.7,NGC_2423, ,114.88152782030,-13.62941732744
26,115.02287134075,-13.73220487129,3030458937573642624,230.7162146026,4.2390120958,1.0520,-0.746,-3.641,245,13.228726,0.657823,1.0,NGC_2423,Gaia DR2 3030458937573642624,115.02287464721,-13.73218919476
27,114.68868173416,-13.87744388771,3030452443582702208,230.6844598569,3.8848726071,1.0739,-0.657,-3.626,259,14.661584,0.906082,1.0,NGC_2423,Gaia DR2 3030452443582702208,114.68868464796,-13.87742827577
28,114.93237003939,-13.77400674708,3030457700623118080,230.7097147504,4.1418887913,1.1413,-0.468,-3.966,250,16.044418,1.257103,0.7,NGC_2423, ,114.93237211405,-13.77398967125
29,115.40815778630,-13.61990950588,3030478350825615360,230.8018189677,4.6204217349,1.0896,-0.204,-3.796,213,14.620201,0.857738,0.5,NGC_2423, ,115.40815869005,-13.61989316199
30,114.98019075337,-13.85178075860,3030444643922568704,230.8004999433,4.1444053697,1.0246,-0.682,-3.488,219,13.021316,0.612677,1.0,NGC_2423,Gaia DR2 3030444643922568704,114.98019377771,-13.85176574082
31,114.36981340581,-13.52551590442,3030664855485627136,230.2252168535,3.7855502904,1.0743,-0.716,-3.768,223,12.773431,0.609253,1.0,NGC_2423,Gaia DR2 3030664855485627136,114.36981657652,-13.52549968109
32,114.69882234030,-13.57922908134,3030654685002938880,230.4282605257,4.0388349193,0.9682,-0.854,-3.654,263,17.038961,1.668127,0.9,NGC_2423, ,114.69882612298,-13.57921334884
33,114.54513681444,-13.48546470300,3030668841215147776,230.2732261936,3.9539887731,1.0923,-0.416,-3.579,260,14.817178,0.920591,0.9,NGC_2423, ,114.54513865633,-13.48544929342
34,114.58099583730,-13.64656999373,3030648809487799296,230.4312972460,3.9060205617,1.0534,-0.901,-3.642,223,17.415182,1.674164,0.9,NGC_2423, ,114.58099982930,-13.64655431290
35,114.50459047519,-13.47508338427,3030665989356874496,230.2449063144,3.9245913089,1.1151,-0.736,-3.566,240,13.154771,0.632484,1.0,NGC_2423,Gaia DR2 3030665989356874496,114.50459373378,-13.47506803066
36,114.75711239629,-13.40779064652,3030670353043458688,230.3058698115,4.1718806536,1.0869,-0.662,-3.552,274,16.225098,1.265883,0.9,NGC_2423, ,114.75711532643,-13.40777535319
37,114.38102546972,-13.45425061288,3030666844051159424,230.1681027299,3.8297087949,1.0427,-0.517,-3.711,281,17.620510,2.035376,0.6,NGC_2423, ,114.38102775850,-13.45423463496
38,114.54343912000,-13.69330313701,3030646404306166912,230.4544047110,3.8513926968,1.0563,-0.612,-3.707,212,15.197783,0.999863,1.0,NGC_2423,Gaia DR2 3030646404306166912,114.54344183209,-13.69328717632
39,114.55275857254,-13.69143712732,3030646507385377152,230.4571888757,3.8602103636,1.0959,-0.472,-3.582,209,16.489954,1.339741,1.0,NGC_2423,Gaia DR2 3030646507385377152,114.55276066420,-13.69142170482
