SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,263.62136061900,-33.56759188589,4053661297326235392,354.8126951512,-0.4457485569,3.4924,3.522,-6.157,133,16.980976,2.179532,0.1,NGC_6475, ,263.62134241984,-33.56756537658
2,269.37784591290,-34.65506149512,4042275403471323008,356.3574167689,-5.0837613237,3.5282,3.350,-5.493,140,17.466013,2.491892,0.8,NGC_6475, ,269.37782837852,-34.65503784470
3,269.34489611475,-34.57634558275,4042276846510405632,356.4125896775,-5.0212226228,3.5681,3.322,-5.134,140,15.434760,1.911566,0.8,NGC_6475, ,269.34487874341,-34.57632347803
4,273.41595047894,-32.93171370252,4045672589505045504,359.4982755762,-7.1997485674,3.7219,4.710,-4.432,132,13.520073,1.238028,0.4,NGC_6475, ,273.41592631749,-32.93169462030
5,269.37332584817,-37.13659421637,4037254483559206016,354.1864995711,-6.3051226694,3.4487,3.532,-5.542,148,15.651379,1.987307,1.0,NGC_6475,Gaia DR2 4037254483559206016,269.37330677235,-37.13657035498
6,269.44468413894,-37.04539834442,4037256893161109376,354.2945510286,-6.3098647429,3.6270,3.472,-5.098,150,15.732759,2.121941,0.8,NGC_6475, ,269.44466540972,-37.04537639470
7,269.39640316815,-34.91986292081,4042074811252105600,356.1339371266,-5.2280259472,3.5269,3.779,-4.668,172,15.498693,1.935505,0.3,NGC_6475, ,269.39638332472,-34.91984282247
8,269.20847144476,-32.68890465605,4043357258503604352,357.9989644070,-3.9847234427,3.6664,2.747,-4.724,167,6.631791,0.161444,0.9,NGC_6475, ,269.20845739160,-32.68888431660
9,269.38810273116,-32.54717930250,4043357224144992384,358.1976851818,-4.0453987626,3.4271,0.556,-5.093,138,15.852405,2.202929,0.2,NGC_6475, ,269.38809989126,-32.54715737431
10,269.38850396406,-34.51381414054,4042277499345812608,356.4849805659,-5.0214595937,3.6019,3.473,-5.222,141,12.931152,1.133484,1.0,NGC_6475,Gaia DR2 4042277499345812608,269.38848581676,-34.51379165693
