SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,072.88036713529,+43.52474292845,205290812456062848,161.8412351072,-0.4830026360,0.6830,1.615,-5.455,185,16.634457,1.265486,0.4,NGC_1664, ,072.88035754531,+43.52476641526
2,072.88546169058,+43.55315208471,205291637090233600,161.8216841630,-0.4620621121,0.8756,2.500,-5.815,177,17.452497,1.720156,0.7,NGC_1664, ,072.88544683841,+43.55317712151
3,072.97940840318,+43.60246556202,205297310746173312,161.8269610890,-0.3781815223,0.5969,1.927,-4.881,192,17.269348,1.427221,0.1,NGC_1664, ,072.97939694575,+43.60248657744
4,072.76875652102,+43.50865172200,205291224776236544,161.8020406687,-0.5556226065,0.7182,1.622,-5.478,257,17.891247,1.822451,0.8,NGC_1664, ,072.76874689204,+43.50867530783
5,073.17758990240,+43.70616520569,205299372329803520,161.8379184476,-0.2015644293,0.5540,1.461,-5.899,202,16.670694,1.290446,0.8,NGC_1664, ,073.17758120067,+43.70619060416
6,072.92640506833,+43.63132604303,205297993641491840,161.7802802149,-0.3894237820,0.8291,1.965,-5.715,204,17.998460,1.684729,0.7,NGC_1664, ,072.92639337935,+43.63135064928
7,073.14970461636,+43.58515381485,205294665046271744,161.9186758867,-0.2939185504,0.6595,1.164,-5.064,231,13.517632,0.858053,0.2,NGC_1664, ,073.14969769752,+43.58517561818
8,072.98350259786,+43.66565778994,205298444616899584,161.7800784454,-0.3357063355,0.7975,1.765,-5.709,239,15.486801,1.045576,0.8,NGC_1664, ,072.98349209260,+43.66568237036
9,072.77999342654,+43.45304541793,205290125264578560,161.8500681090,-0.5848139557,0.7710,1.653,-5.696,251,14.738659,0.897319,0.8,NGC_1664, ,072.77998362256,+43.45306994237
10,072.79909841426,+43.47124234865,205290232639490048,161.8448953025,-0.5625279632,0.7883,1.722,-5.718,230,12.950126,0.473476,0.9,NGC_1664, ,072.79908819796,+43.47126696782
11,073.09781423772,+43.63265809371,205295798917037952,161.8581187279,-0.2928062555,0.6453,1.695,-5.795,233,13.821959,0.826345,1.0,NGC_1664,Gaia DR2 205295798917037952,073.09780415464,+43.63268304440
12,072.77154653004,+43.43998257411,205289889042116352,161.8562168795,-0.5978693441,0.7075,1.726,-5.650,216,17.755537,1.699539,0.6,NGC_1664, ,072.77153629530,+43.44000690050
13,073.14387142523,+43.65553092270,205296211233886208,161.8615958812,-0.2525335703,0.7325,1.869,-5.569,183,16.743023,1.267590,0.6,NGC_1664, ,073.14386030284,+43.65555490034
14,072.73932817716,+43.46547088614,205289442365516416,161.8216659622,-0.5996151367,0.6839,1.475,-5.367,279,14.188480,0.777892,0.5,NGC_1664, ,072.73931942710,+43.46549399406
15,072.69130152979,+43.42459967746,205289300630836352,161.8308625338,-0.6525465606,0.6993,2.042,-5.784,200,16.773827,1.280937,0.8,NGC_1664, ,072.69128942433,+43.42462458079
16,072.89161270536,+43.61292954433,205297856202530816,161.7784319210,-0.4205584726,0.7090,2.057,-5.768,212,16.972958,1.359449,0.8,NGC_1664, ,072.89160047286,+43.61295437877
17,073.01722028168,+43.67493790692,205298513336370176,161.7884220153,-0.3109813755,0.8032,1.307,-5.354,225,15.928638,1.146622,0.5,NGC_1664, ,073.01721250123,+43.67496095886
18,072.76880256321,+43.46542734806,205290198279756160,161.8353500631,-0.5831714987,0.6049,1.144,-5.809,233,16.347033,1.175166,0.6,NGC_1664, ,072.76879577673,+43.46545235903
19,072.91531450096,+43.49701960936,205293458155868160,161.8787516964,-0.4811119954,0.7425,2.375,-5.987,220,15.705860,1.071786,0.7,NGC_1664, ,072.91530040452,+43.49704538672
20,072.69755153100,+43.40797445861,205288480292858880,161.8465562400,-0.6596703388,0.7737,1.606,-5.734,235,15.678200,1.057779,0.6,NGC_1664, ,072.69754201287,+43.40799914667
21,072.85526507169,+43.52282924523,205290743740050304,161.8311153059,-0.4982520187,0.8205,1.613,-5.400,222,15.288408,1.002356,0.6,NGC_1664, ,072.85525549389,+43.52285249523
22,073.10743258867,+43.57537519568,205294592025704064,161.9068003439,-0.3237902643,0.6788,1.374,-6.146,220,11.147140,1.386181,0.7,NGC_1664, ,073.10742442291,+43.57540165762
23,072.87559462533,+43.54702340578,205291641388737408,161.8218542645,-0.4714787968,0.8587,1.853,-5.681,176,15.473279,1.046625,0.6,NGC_1664, ,072.87558361802,+43.54704786564
24,072.95481506619,+43.49637873654,205293221936704256,161.8974820592,-0.4594169568,0.7876,1.483,-5.907,219,14.526753,0.885297,0.6,NGC_1664, ,072.95480626417,+43.49640416946
25,073.09371032967,+43.59034492971,205295420959925504,161.8889234533,-0.3219666583,0.7107,2.023,-5.403,217,16.957693,1.361897,0.4,NGC_1664, ,073.09369830387,+43.59036819263
26,073.12000367464,+43.56962715965,205294626387091968,161.9170232070,-0.3204008595,0.7649,1.665,-5.560,188,16.746517,1.296043,0.8,NGC_1664, ,073.11999378039,+43.56965109854
27,072.99135529177,+43.63646395208,205298101019519744,161.8062226844,-0.3498861477,0.7363,1.628,-5.685,226,14.365465,0.828914,1.0,NGC_1664,Gaia DR2 205298101019519744,072.99134560664,+43.63648842916
28,073.12227454549,+43.57221368437,205294626387094272,161.9160685651,-0.3174878209,0.7693,1.689,-5.831,224,16.209215,1.172653,0.7,NGC_1664, ,073.12226450819,+43.57223879006
29,072.85904680253,+43.53950639995,205291607029003776,161.8200076016,-0.4855133883,0.6806,1.622,-5.788,212,13.165732,0.523848,1.0,NGC_1664,Gaia DR2 205291607029003776,072.85903716862,+43.53953132051
30,072.92428047032,+43.56549652965,205296795349482112,161.8300753768,-0.4325104587,0.7955,1.847,-5.534,212,16.095657,1.143089,0.9,NGC_1664, ,072.92426949529,+43.56552035659
