SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,101.09965392422,-19.27125378415,2945371924589367552,229.4894073919,-10.1539267872,1.2979,-4.233,-1.409,440,14.308847,0.864925,1.0,NGC_2287,Gaia DR2 2945371924589367552,101.09967323149,-19.27124771762
2,099.88883316512,-20.33717371740,2939189061465997952,229.9802983563,-11.6376965483,1.4152,-4.706,-1.538,322,17.398956,1.969753,0.8,NGC_2287, ,099.88885477409,-20.33716709545
3,100.39104318338,-19.98218358339,2939214178434399744,229.8547932106,-11.0605194041,1.2489,-4.211,-1.305,405,17.700583,2.019001,0.8,NGC_2287, ,100.39106247548,-19.98217796464
4,100.03708292647,-20.35946208015,2939177928910725376,230.0605967361,-11.5209520463,1.2353,-3.826,-1.470,327,17.900501,1.954254,0.3,NGC_2287, ,100.03710049720,-20.35945575098
5,100.29156662104,-19.89286439418,2939227574432041728,229.7320001676,-11.1074449729,1.3833,-4.248,-1.262,422,17.782267,2.043013,0.8,NGC_2287, ,100.29158607165,-19.89285896057
6,100.65409622845,-19.92960911498,2939305575339796352,229.9130523580,-10.8142903792,1.4616,-4.842,-0.922,367,12.903085,0.747702,0.3,NGC_2287, ,100.65411840400,-19.92960514526
7,100.48669240213,-19.70383323743,2939330245631768320,229.6368473623,-10.8610440359,1.3125,-3.864,-2.150,425,14.993924,1.155552,0.2,NGC_2287, ,100.48671007349,-19.70382398048
8,100.37402260240,-19.68186128661,2939328390205919872,229.5707515583,-10.9477816951,1.2596,-4.506,-1.990,410,10.015606,-0.003153,0.6,NGC_2287, ,100.37404320701,-19.68185271855
9,100.38389244050,-19.93409980298,2939320070846946048,229.8075082805,-11.0462524232,1.2563,-4.250,-1.105,387,17.966808,2.050545,0.8,NGC_2287, ,100.38391190534,-19.93409504534
10,100.93726434152,-19.62120967696,2939341339524871168,229.7444731496,-10.4419151536,1.3569,-3.441,-1.242,337,12.476066,0.632900,0.1,NGC_2287, ,100.93728007025,-19.62120432946
11,100.72043709579,-19.58190505720,2939355637479027456,229.6197713860,-10.6099512908,1.4839,-4.391,-1.775,395,13.179526,0.699496,1.0,NGC_2287,Gaia DR2 2939355637479027456,100.72045716205,-19.58189741484
12,101.08420872190,-19.40126375194,2939353541535016064,229.6024586745,-10.2227328990,1.3765,-4.333,-1.334,399,11.897533,0.314669,1.0,NGC_2287,Gaia DR2 2939353541535016064,101.08422850102,-19.40125800833
13,100.99552269227,-19.49140026570,2939351273792326656,229.6489488483,-10.3368623418,1.3802,-4.409,-1.579,393,13.830365,0.781743,1.0,NGC_2287,Gaia DR2 2939351273792326656,100.99554282950,-19.49139346723
14,100.88610316418,-19.57343377292,2939344711082341120,229.6796278208,-10.4651326179,1.3853,-4.254,-1.787,383,13.434127,0.719875,1.0,NGC_2287,Gaia DR2 2939344711082341120,100.88612260335,-19.57342607889
15,102.79110308243,-21.03326132839,2926192937107711744,231.7963664676,-9.4768108835,1.2946,-4.546,-1.233,303,15.901460,1.393638,1.0,NGC_2287,Gaia DR2 2926192937107711744,102.79112405269,-21.03325601964
16,102.11530989420,-21.30297375738,2926168954009811072,231.7690768647,-10.1617667291,1.2747,-4.317,-2.091,262,17.904110,2.062056,0.6,NGC_2287, ,102.11532984443,-21.30296475446
17,102.26523940470,-21.32394987903,2926171015594260096,231.8490097491,-10.0444785839,1.2774,-5.072,-1.897,305,15.875800,1.396535,0.6,NGC_2287, ,102.26526284738,-21.32394171139
18,102.16643949187,-21.23609071301,2926175448000350848,231.7283509639,-10.0900992074,1.2976,-5.120,-1.870,274,16.955038,1.847937,0.5,NGC_2287, ,102.16646314227,-21.23608266162
19,102.00007465532,-21.40283443830,2926166617547624576,231.8142767544,-10.3014529158,1.2737,-4.351,-1.322,266,16.347584,1.459411,1.0,NGC_2287,Gaia DR2 2926166617547624576,102.00009477638,-21.40282874635
20,102.56038220409,-21.18745542178,2926185034368068608,231.8435751764,-9.7374563960,1.4211,-4.305,-1.349,273,16.871960,1.672928,1.0,NGC_2287,Gaia DR2 2926185034368068608,102.56040208328,-21.18744961358
21,102.06293018992,-21.31386306753,2926169057089032192,231.7578996155,-10.2105405687,1.2673,-4.438,-1.693,281,11.361187,0.155414,1.0,NGC_2287,Gaia DR2 2926169057089032192,102.06295070085,-21.31385577822
22,102.31498466944,-21.18567635222,2926176684951010688,231.7422933987,-9.9433669407,1.3115,-4.211,-0.558,240,16.315681,1.405031,0.6,NGC_2287, ,102.31500411433,-21.18567394972
23,102.48377385222,-21.28503666854,2926160535873965952,231.9018926508,-9.8438442088,1.3271,-4.338,-1.208,312,14.934781,1.024278,1.0,NGC_2287,Gaia DR2 2926160535873965952,102.48379389706,-21.28503146743
24,102.61520887477,-21.05972484878,2926199224939924480,231.7488924086,-9.6363640648,1.2624,-4.303,-1.165,348,15.939831,1.357114,1.0,NGC_2287,Gaia DR2 2926199224939924480,102.61522872762,-21.05971983281
25,102.64896441352,-21.32741127683,2926179158852847360,232.0077876836,-9.7230515141,1.2641,-4.163,-1.223,317,14.935469,1.005950,1.0,NGC_2287,Gaia DR2 2926179158852847360,102.64898365527,-21.32740601113
26,102.43792643328,-21.31416313308,2926160089197396736,231.9100012871,-9.8949242266,1.2421,-3.576,-1.040,291,15.606585,1.193356,0.4,NGC_2287, ,102.43794296038,-21.31415865530
27,102.72212625901,-21.27191816156,2926181147414553216,231.9866951698,-9.6376491920,1.2685,-4.244,-0.939,285,17.811123,1.981602,0.7,NGC_2287, ,102.72214586775,-21.27191411864
28,100.89851631965,-22.02839567356,2926398545779810816,231.9505031499,-11.4933948435,1.5112,-4.525,-1.220,572,17.214785,1.840120,0.8,NGC_2287, ,100.89853733656,-22.02839042078
29,100.96536284497,-21.79910252868,2926423456590021248,231.7648168216,-11.3407742136,1.2234,-3.611,-1.786,484,17.236498,1.680075,0.2,NGC_2287, ,100.96537958972,-21.79909483896
30,100.95054681220,-21.84613039172,2926419917536989184,231.8024354600,-11.3730312318,1.4331,-3.437,-1.681,429,14.192808,0.868337,0.6,NGC_2287, ,100.95056275532,-21.84612315408
31,100.57792663838,-21.42030243279,2926494959207036416,231.2596925715,-11.5083954562,1.3340,-4.994,-1.629,335,15.685027,1.282091,0.4,NGC_2287, ,100.57794973574,-21.42029541904
32,100.63663068588,-21.65533125708,2926475408516067968,231.5008008975,-11.5574950549,1.3119,-4.525,-1.378,234,11.521647,0.234971,1.0,NGC_2287,Gaia DR2 2926475408516067968,100.63665164801,-21.65532532402
33,103.09656170906,-20.95227585594,2932197507545905920,231.8471677012,-9.1846198457,1.5313,-3.571,-1.390,340,15.449339,1.283341,0.1,NGC_2287, ,103.09657817280,-20.95226987122
34,101.15126275719,-21.92987696883,2926781278906568448,231.9598352644,-11.2393186389,1.3299,-4.546,-1.850,552,15.644383,1.145655,0.8,NGC_2287, ,101.15128385699,-21.92986900355
35,100.28330365618,-21.37332193237,2926686102429804416,231.0986948447,-11.7377173658,1.2616,-5.219,-1.532,324,15.652967,1.188857,0.3,NGC_2287, ,100.28332778642,-21.37331533626
36,101.27853877994,-22.12106175649,2925649331685853312,232.1872811926,-11.2128315708,1.3620,-4.265,-2.224,587,16.847452,1.322716,0.4,NGC_2287, ,101.27855860225,-22.12105218093
37,101.46851150095,-21.13019487627,2926892123422228224,231.3489609264,-10.6336379806,1.4152,-4.170,-1.235,296,12.597226,0.544609,1.0,NGC_2287,Gaia DR2 2926892123422228224,101.46853074930,-21.13018955891
38,100.88902017783,-21.23513018152,2926875699466927232,231.2128016308,-11.1675843829,1.3053,-4.606,-1.379,273,12.595369,0.639543,0.9,NGC_2287, ,100.88904145382,-21.23512424416
39,101.28547071464,-21.30957861592,2926883018091049600,231.4406387861,-10.8642474472,1.3825,-4.285,-1.337,308,16.225992,1.422620,1.0,NGC_2287,Gaia DR2 2926883018091049600,101.28549051788,-21.30957285939
40,100.89051801130,-21.23520907828,2926875699466926464,231.2134749828,-11.1663518995,1.4109,-4.016,-1.185,318,14.314163,0.912359,1.0,NGC_2287,Gaia DR2 2926875699466926464,100.89053656197,-21.23520397620
41,101.51069535723,-21.15423505152,2926844947500717440,231.3881110882,-10.6082363563,1.3968,-5.010,-1.036,323,12.194173,0.605285,0.6,NGC_2287, ,101.51071848670,-21.15423059096
42,101.30792728182,-21.13202380265,2926889752599638144,231.2859414126,-10.7700371886,1.4003,-4.343,-1.443,322,11.941312,0.356695,1.0,NGC_2287,Gaia DR2 2926889752599638144,101.30794732897,-21.13201758973
43,101.70687345582,-21.41348487478,2926825431170093184,231.7058775584,-10.5529710052,1.3606,-4.733,-1.227,297,16.669650,1.597956,1.0,NGC_2287,Gaia DR2 2926825431170093184,101.70689534503,-21.41347959186
44,101.46503316628,-21.27463515893,2926837250919430912,231.4806301226,-10.6979077116,1.3227,-4.266,-1.055,351,13.829777,0.783475,1.0,NGC_2287,Gaia DR2 2926837250919430912,101.46505287703,-21.27463061657
45,101.16960937098,-21.36074910551,2926859859627483264,231.4413441515,-10.9836832532,1.4653,-3.970,-1.844,297,16.226368,1.462653,0.9,NGC_2287, ,101.16962772484,-21.36074116606
46,101.25875215102,-21.81197534689,2926783817225710976,231.8937242800,-11.0991588571,1.3855,-4.263,-1.374,437,11.396756,0.231757,1.0,NGC_2287,Gaia DR2 2926783817225710976,101.25877192097,-21.81196943106
47,101.56441495811,-21.45035454437,2926820105410695936,231.6825255640,-10.6886817893,1.2903,-4.359,-1.114,324,11.109081,0.106103,1.0,NGC_2287,Gaia DR2 2926820105410695936,101.56443512273,-21.45034974798
48,101.20042982367,-21.37825358871,2926859034993758080,231.4698656166,-10.9650770049,1.2789,-4.249,-1.310,313,16.235910,1.436077,1.0,NGC_2287,Gaia DR2 2926859034993758080,101.20044946974,-21.37824794843
49,101.35802842093,-21.17661927795,2926886454064759552,231.3472223405,-10.7466389965,1.4110,-4.177,-1.122,325,16.015985,1.312862,1.0,NGC_2287,Gaia DR2 2926886454064759552,101.35804770764,-21.17661444712
50,100.98789813098,-21.25675248965,2926876180503226112,231.2724262761,-11.0931671454,1.3540,-4.351,-1.002,295,17.371328,1.848000,1.0,NGC_2287,Gaia DR2 2926876180503226112,100.98791823202,-21.25674817548
51,101.35307276692,-21.49722517258,2926807254868042496,231.6408806906,-10.8866796336,1.2059,-4.761,-1.158,323,14.652531,0.905289,0.7,NGC_2287, ,101.35309479827,-21.49722018675
52,101.58201430136,-21.11122631577,2926846906005739392,231.3772837036,-10.5297397523,1.4072,-4.223,-1.397,301,14.941356,0.997031,1.0,NGC_2287,Gaia DR2 2926846906005739392,101.58203379187,-21.11122030091
53,101.69997182479,-21.17709974943,2926842439240504832,231.4855247710,-10.4582178917,1.3984,-4.496,-1.458,312,11.246051,0.190342,1.0,NGC_2287,Gaia DR2 2926842439240504832,101.69999258451,-21.17709347193
54,101.50029182428,-21.11314105276,2926893635249962880,231.3460709377,-10.5995556630,1.3236,-4.817,-1.913,303,11.788794,0.336218,0.5,NGC_2287, ,101.50031405657,-21.11313281623
55,101.33833325394,-21.47829045987,2926807564105682304,231.6174994844,-10.8910902619,1.2518,-4.379,-1.295,335,17.465458,1.870874,1.0,NGC_2287,Gaia DR2 2926807564105682304,101.33835351497,-21.47828488417
56,101.12833355091,-21.18716096656,2926888756167352192,231.2645534153,-10.9451091795,1.3986,-4.405,-1.310,316,15.021494,1.040604,1.0,NGC_2287,Gaia DR2 2926888756167352192,101.12835389183,-21.18715532628
57,101.46885353176,-21.71554217480,2926789009847569792,231.8886977324,-10.8815607458,1.4137,-4.212,-1.220,435,9.670729,0.021091,1.0,NGC_2287,Gaia DR2 2926789009847569792,101.46887305207,-21.71553692202
58,101.60767362402,-21.13320699781,2926846631127833984,231.4078733173,-10.5174295393,1.3417,-4.447,-1.012,307,14.155511,0.837555,1.0,NGC_2287,Gaia DR2 2926846631127833984,101.60769415140,-21.13320264059
59,101.54067701918,-21.24391201029,2926843401312541440,231.4827873980,-10.6210368126,1.3199,-4.409,-1.302,361,14.226065,0.845325,1.0,NGC_2287,Gaia DR2 2926843401312541440,101.54069738640,-21.24390640446
60,101.63255028474,-21.39799233583,2926826354580784512,231.6616933479,-10.6090221350,1.3197,-3.961,-1.463,302,17.887863,2.382505,0.8,NGC_2287, ,101.63256860165,-21.39798603680
