SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
32,260.86046516693,-49.43574643513,5949651550420642304,340.3827773288,-7.4466247544,1.1024,-2.233,-4.729,169,12.904477,0.713722,0.8,IC_4651, ,260.86047995133,-49.43572607416
33,260.75667541520,-49.59305247468,5949643063567124096,340.2130811421,-7.4778496703,1.0467,-2.633,-4.618,193,15.256180,1.082544,0.7,IC_4651, ,260.75669290411,-49.59303259162
34,260.68236799633,-49.39521141635,5949655329994227968,340.3518753588,-7.3277613104,0.9711,-2.299,-5.009,211,17.777037,1.149136,0.5,IC_4651, ,260.68238320514,-49.39518984982
35,261.39401819753,-49.55465104622,5949682061867256320,340.4755771291,-7.8012704654,0.9475,-2.268,-4.916,193,13.040763,0.719011,0.8,IC_4651, ,261.39403325019,-49.55462988011
36,261.65489530625,-49.63626168009,5949677874309433600,340.5000550053,-7.9874575576,1.0839,-2.305,-4.841,197,15.225131,1.073611,1.0,IC_4651,Gaia DR2 5949677874309433600,261.65491063010,-49.63624083689
37,261.47705802390,-49.57583650567,5949681855708804480,340.4875009227,-7.8579271635,1.0679,-2.301,-4.821,196,16.834114,1.528496,0.9,IC_4651, ,261.47707330220,-49.57581574859
38,261.62747933504,-49.54903245214,5949679832814576128,340.5640393326,-7.9249339004,1.2006,-1.895,-4.392,200,14.518509,0.959166,0.1,IC_4651, ,261.62749191066,-49.54901354214
39,261.56296388225,-49.57652359147,5949679003850521600,340.5177034007,-7.9049210355,0.9782,-2.129,-5.160,226,16.117115,1.281629,0.9,IC_4651, ,261.56297801870,-49.57650137480
40,261.63833412385,-49.57181963908,5949679794124507136,340.5486509464,-7.9432789217,1.2384,-2.320,-4.887,217,17.582762,1.778900,0.6,IC_4651, ,261.63834952704,-49.57179859783
41,261.67620191045,-49.61503618133,5949678011748389632,340.5256213248,-7.9874377833,1.1067,-2.381,-4.863,219,12.362585,0.735539,0.9,IC_4651, ,261.67621773266,-49.61501524341
42,261.53395882316,-49.60679916923,5949678630186779264,340.4817322731,-7.9057450034,1.0855,-2.174,-4.887,224,17.369106,1.450722,0.9,IC_4651, ,261.53397326737,-49.60677812798
43,261.35854475360,-49.50025979006,5949683062630143744,340.5087042738,-7.7521659317,0.9346,-2.435,-5.326,187,14.604223,0.940065,0.9,IC_4651, ,261.35856089666,-49.50023685867
