SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,109.87499777731,-15.73502826665,3031153347888878336,230.0903171067,-1.0903885030,0.8946,0.258,5.656,266,15.012268,0.904007,1.0,NGC_2360,Gaia DR2 3031153347888878336,109.87499662323,-15.73505261887
2,109.89057337532,-15.62039332610,3031158879806718720,229.9960514083,-1.0234328750,0.9287,0.305,5.650,261,15.275760,0.946503,1.0,NGC_2360,Gaia DR2 3031158879806718720,109.89057201177,-15.62041765249
3,109.95973634920,-15.72921633847,3031153897644951936,230.1234121133,-1.0156115229,0.9418,0.195,5.655,271,15.786167,1.052136,1.0,NGC_2360,Gaia DR2 3031153897644951936,109.95973547695,-15.72924068639
4,109.90557211819,-15.73006849448,3031154653559214208,230.0997251727,-1.0620656748,1.0128,0.553,5.918,255,15.671556,1.053895,0.9,NGC_2360, ,109.90556964458,-15.73009397476
5,109.73240968608,-15.74568601297,3031156749503012352,230.0354713906,-1.2166497101,0.9838,0.258,5.883,231,14.628811,0.831530,1.0,NGC_2360,Gaia DR2 3031156749503012352,109.73240853194,-15.74571134255
6,109.84326291171,-15.81644814320,3031151629902309888,230.1479604075,-1.1555067377,0.9533,0.267,5.558,284,14.467768,0.801627,1.0,NGC_2360,Gaia DR2 3031151629902309888,109.84326171689,-15.81647207348
7,109.81992933821,-15.61438240993,3031159459620156416,229.9588657149,-1.0807278004,0.9672,0.273,5.682,232,13.004615,0.543695,1.0,NGC_2360,Gaia DR2 3031159459620156416,109.81992811775,-15.61440687410
8,109.97938221254,-15.86200543131,3031138981216484480,230.2495867585,-1.0611691007,1.0448,0.756,5.134,293,17.602407,1.886826,0.5,NGC_2360, ,109.97937882869,-15.86202753603
9,109.90552160752,-15.85354607045,3031139569634140160,230.2088055970,-1.1199663653,0.8188,0.128,5.786,280,13.882832,0.700766,0.9,NGC_2360, ,109.90552103462,-15.85357098239
10,109.72299139306,-15.68683381921,3031157264899070336,229.9792036941,-1.1971272249,0.9436,0.510,5.535,285,14.084460,0.845448,1.0,NGC_2360,Gaia DR2 3031157264899070336,109.72298911228,-15.68685765046
11,109.88036468918,-15.66440508764,3031158089532751232,230.0303333425,-1.0527383422,0.8949,0.058,5.638,224,16.634275,1.299250,0.6,NGC_2360, ,109.88036442982,-15.66442936236
12,109.88103526986,-15.61796955406,3031159532641749248,229.9896052134,-1.0304124959,0.9019,0.135,5.675,256,13.672351,0.673368,1.0,NGC_2360,Gaia DR2 3031159532641749248,109.88103466633,-15.61799398809
13,109.91556712174,-15.88415039498,3031139191677031680,230.2403759755,-1.1257703326,0.9313,0.299,5.691,271,13.904574,0.710013,1.0,NGC_2360,Gaia DR2 3031139191677031680,109.91556578327,-15.88417489790
14,109.77363315334,-15.63904690941,3031157814654859136,229.9597869106,-1.1316719493,0.9029,0.237,5.770,255,11.578008,0.544673,1.0,NGC_2360,Gaia DR2 3031157814654859136,109.77363209369,-15.63907175247
15,109.89841735240,-15.62184237764,3031158879806717824,230.0008719771,-1.0174382201,0.8505,0.663,5.782,250,15.297446,0.961403,1.0,NGC_2360,Gaia DR2 3031158879806717824,109.89841438832,-15.62186727236
16,109.86581546446,-15.75238691096,3031153107370717312,230.1015154675,-1.1063281618,0.8873,0.264,5.672,252,13.459387,0.750390,1.0,NGC_2360,Gaia DR2 3031153107370717312,109.86581428344,-15.75241133207
17,109.28032767146,-16.05793889749,3031215195416200704,230.1086165202,-1.7469232514,0.8351,0.346,5.724,173,10.898131,1.270398,1.0,NGC_2360,Gaia DR2 3031215195416200704,109.28032612125,-16.05796354249
18,109.27589658251,-16.04562716309,3031215637797505280,230.0957327730,-1.7449546661,0.7751,0.358,5.454,250,17.421120,1.414526,0.5,NGC_2360, ,109.27589497864,-16.04565064559
19,109.92815424330,-15.50380323877,3031166473308865280,229.9100107108,-0.9368125379,0.8749,0.569,5.411,230,16.055943,1.129030,0.8,NGC_2360, ,109.92815170093,-15.50382653613
20,109.46450036178,-15.61088290433,3031256220944414720,229.7956827864,-1.3816851576,0.8638,0.069,6.186,281,15.049006,0.983457,0.8,NGC_2360, ,109.46450005332,-15.61090953850
21,109.44310141143,-15.72125364112,3031253231647292544,229.8837006397,-1.4514262353,0.8572,0.325,5.663,281,15.767232,1.054719,1.0,NGC_2360,Gaia DR2 3031253231647292544,109.44309995774,-15.72127802348
22,109.50369297613,-15.63802435638,3031255877347031936,229.8373194988,-1.3609807620,0.9450,0.343,5.781,285,15.960255,1.119511,1.0,NGC_2360,Gaia DR2 3031255877347031936,109.50369144256,-15.63804924680
23,109.45055788452,-15.71837870922,3031253231647285504,229.8845083875,-1.4437365704,0.7958,0.481,5.548,284,12.110838,0.613001,0.9,NGC_2360, ,109.45055573310,-15.71840259644
24,109.23175454782,-15.73785649729,3031259485119788672,229.8034985936,-1.6391299612,0.8788,0.228,5.622,270,14.817638,0.881349,1.0,NGC_2360,Gaia DR2 3031259485119788672,109.23175352792,-15.73788070312
25,109.40341859430,-15.79272388627,3031246531498383360,229.9291064205,-1.5185551824,0.8646,-0.243,6.093,253,16.475230,1.540998,0.8,NGC_2360, ,109.40341968159,-15.79275012002
